Ticker,Company,Market,Price at Analysis,Category,Verdict,Stars,Moat,Quality,Val,Mgmt,AI Overlay,AI Score,Phase,Flywheel,Conditions Met,Horizon,Base IV,MoS Entry Zone,Thesis,Report File,Last Analysis Date
AAVAS,Aavas Financiers Ltd,NSE,1475,C,WATCH★★★,3,B+,B,B-,B-,⚪ NEUTRAL,67,2,Forming,0,3-5yr,"₹1,371","₹1,050–₹1,200",Best-in-class affordable HFC with proprietary informal-income underwriting; post-correction inflection with Q4FY26 rebound — price above MoS entry zone,AAVAS_qv_report.html,2026-05-13
ABB,ABB India Limited,NSE,7234,C,WATCH★★★,3,B+,A-,C+,B+,🟢 WIDENER,52,3,Feature,0,7-10yr,"~₹3,850","₹4,200–4,800",India capex supercycle beneficiary; ROIC 76%+; 77× P/E with −5.6% ERP; wait for 20–25% correction,ABB_qv_report.html,2026-04-09
ACC,ACC Limited,NSE,1346,C,WATCH★★★,,,,,,⚪ NEUTRAL,,,,,,,"₹1,250–1,320 (fundamental) | Merger arb: track Ambuja × 3.28",,,2026-04-07
ACMESOLAR,ACME Solar Holdings,NSE,338.5,D,WATCH★★★,3,B-,C-,C+,B+,⚪ NEUTRAL,28,1,Cosmetic,0,5-7yr,₹272,₹200-215,"FDRE pioneer: 5,093 MW UC commissions by FY28 will triple EBITDA; zero promoter pledges; 25-yr sovereign PPAs at 40% sector discount.",ACMESOLAR_qv_report.html,2026-06-01
ACUTAAS,Acutaas Chemicals Ltd.,NSE,3252,C,WATCH,4,B+,B,C+,B+,🟢 WIDENER,35,1,Cosmetic,0,7-10yr,2830,2100-2280,Acutaas Chemicals (formerly Ami Organics) is a niche pharmaceutical intermediates manufacturer executing a CDMO + EV battery + semiconductor chemicals pivot. Trading at 64x P/E with no margin of safety; wait for a 20-25% correction.,ACUTAAS_qv_report.html,2026-05-23
ADANIGREEN,Adani Green Energy Ltd,NSE,1506,B,WATCH★★★,3,B+,C+,C+,D+,⚪ NEUTRAL,35,3,Feature,0,7-10yr,₹975 (risk-adj ₹829),₹800–850,"India's largest RE IPP — world's best asset (19.3GW→50GW), governance cloud from US DOJ indictment. Buy at ₹800–850 on DOJ resolution + 15% correction.",ADANIGREEN_qv_report.html,2026-04-08
ADANIPORTS,Adani Ports & Special Economic Zone,NSE,1836.8,B,WATCH★★★★,4,B+,B-,C+,B-,⚪ NEUTRAL,42,2,Forming,0,7-10yr,"₹1,549","₹1,200–1,350","28% India port share; geographic monopoly; 1BT 2030 vision; base IV ₹1,549 — near full value at CMP",ADANIPORTS_qv_report.html,2026-04-19
ADANIPOWER,Adani Power Limited,NSE,231.7,C,WATCH★★★,3,B,B+,C+,B,⚪ NEUTRAL,45,1,Cosmetic,2,5-7yr,₹176 (blended base),₹130-145 (Strong Buy) | ₹155-165 (Starter),India's largest private thermal power producer; 17→30.7 GW by FY30; power demand supercycle + AI data center tailwind; wait for ₹130-155 entry.,ADANIPOWER_qv_report.html,2026-04-14
ADBE,Adobe Inc.,NASDAQ,195.16,C,WATCH★★★★,4,B+,A-,A,B,🟢 WIDENER,58,3,Forming,0,5-7yr,~$353,$220–240,"World-class creative/document SaaS; 88% GM, $10B+ FCF, $25B ARR; priced at 9x fwd PE on AI existential fears; moat intact for enterprise; CEO transition the key near-term risk",ADBE_qv_report.html,2026-04-14
AEQUS,Aequs Limited,NSE,221.7,D,WATCH★★★,3,B-,D+,C,C+,⚪ NEUTRAL,20,1,Cosmetic,0,3-5yr,₹182,₹142–155,India's only vertically integrated aerospace SEZ manufacturer; IPO base breakout; $814M order book; PAT positive FY27E target,AEQUS_qv_report.html,2026-04-18
AFCONS,Afcons Infrastructure Ltd,NSE,314.5,C,AVOID,0,B-,C-,D+,C+,⚪ NEUTRAL,18,4,Cosmetic,0,N/A,₹121 (governance-adj base),N/A,Pledge 53.5% + SPCPL 100% encumbered + FCF −₹470Cr + EBIT cov 1.45x = unconditional AVOID; technically excellent EPC trapped in leveraged parent structure,AFCONS_qv_report.html,2026-04-15
AMAGI,Amagi Media Labs Ltd,NSE,483.9,F,WATCH★★★★,4,B+,B,B-,B+,🟢 WIDENER,72,3,Forming,3,5-7yr,₹802-922,₹350-390,India's only pure-play cloud-native FAST+CTV SaaS platform; FY26 first full-year profit; R40 crossing 40 triggers Cat F entry signal; AI WIDENER via proprietary ad+viewer data flywheel forming.,AMAGI_qv_report.html,2026-05-20
